name of the place,category,latitude,longitude,description,timings,Place,Category,Timings,tags,rating
Talakona Bamboo Grove Zone,Wildlife,13.806,79.215,Bamboo grove habitat with butterflies and birdlife. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,06:00-18:00,general tirupati tourism,4.0,,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
,,,,. A wonderful destination offering unique experiences for all visitors. Enjoy the beautiful surroundings and excellent amenities. A highly recommended stop on your Tirupati itinerary.,,general tirupati tourism,4.0,24 Hours,,
